ticker,signal_date,exit_date,closed,entry,exit,r0,R,move_pct,peak_pct,peak_R,held,r0_pct,er22,er55,fresh,dd_pct,hi_age,atr_pct,dev,selfvol,tier,mae_R,mae_low_R,mae_atr,mae_low_atr,breadth,regime
XP,2022-02-01,2022-03-04,1,33.78,29.21,7.0536,-0.648,-13.53,5.83,0.279,22,20.881,0.2819955913768398,0.004814654755211966,0.39,1.97,55,5.081,2.500068589395562,0.007687680067806735,strong,-0.648,-0.7,2.663,2.878,0.3138,bear
ENB,2022-02-02,2022-02-18,1,43.09,41.18,2.9428,-0.649,-4.43,1.18,0.173,12,6.829,0.45933585753206774,0.13631743875818578,0.0,0.0,1,1.797,2.5057163353320346,0.13603282692142615,strong,-0.649,-0.768,2.466,2.918,0.5176,neutral
GLW,2022-02-02,2022-03-01,1,42.74,38.57,5.2144,-0.8,-9.76,0.49,0.04,18,12.2,0.40845069625973185,0.13021587610526694,0.0,0.0,1,2.947,3.7214170641023196,0.2910306414254593,strong,-0.8,-0.871,3.31,3.604,0.5176,neutral
NI,2022-02-02,2022-04-22,1,29.6,30.87,2.2811,0.557,4.29,9.66,1.254,55,7.706,0.32784172089935076,0.33984928807214304,0.0,0.0,3,2.032,2.7155608553236514,0.29277023134416624,mid,-0.609,-0.75,2.311,2.843,0.5176,neutral
OGN,2022-02-02,2022-03-14,1,33.33,32.36,3.5375,-0.274,-2.91,18.09,1.705,27,10.614,0.2969071864929892,0.015095834338497933,0.689,2.11,55,3.09,1.489728665855661,0.028623246461834118,strong,-0.274,-0.498,0.942,1.709,0.5176,neutral
VALE,2022-02-02,2022-03-14,1,16.35,17.8,2.1001,0.69,8.87,25.99,2.024,27,12.845,0.35143281272025845,0.24643323002273296,0.0,0.0,1,3.117,2.230995251797863,0.02008650801405154,mid,-0.095,-0.114,0.392,0.471,0.5176,neutral
AA,2022-02-04,2022-04-21,1,64.22,72.2,14.9434,0.534,12.43,48.02,2.064,52,23.269,0.19374464749235293,0.21156890885217683,0.0,0.0,1,5.171,1.3051277682538212,0.14935362256636653,mid,-0.031,-0.08,0.142,0.361,0.3068,bear
BP,2022-02-04,2022-02-24,1,32.88,29.17,3.4698,-1.069,-11.28,1.4,0.133,13,10.553,0.3961573832512865,0.20915291164584063,0.0,0.0,13,2.514,2.162533715978776,0.13857134722889075,mid,-1.069,-1.259,4.488,5.287,0.3068,bear
SAN,2022-02-04,2022-02-24,1,3.81,3.43,0.4238,-0.897,-9.97,4.46,0.401,13,11.123,0.33928571048439643,0.07633590634334556,0.0,0.0,1,2.664,2.404002871231143,0.12529742088165552,strong,-0.897,-1.203,3.744,5.025,0.3068,bear
TALO,2022-02-04,2022-03-16,1,11.63,14.21,3.0567,0.844,22.18,59.76,2.274,27,26.283,0.12812951423733837,0.034634407077214824,0.0,0.0,16,5.841,1.277862316472236,-0.005140697418668405,mid,-0.236,-0.272,1.06,1.222,0.3068,bear
ALM,2022-02-07,2022-02-18,1,1.7685,1.575,0.1934,-1.001,-10.94,0.0,0.0,9,10.935,0.15061728524266246,0.0337971972249272,1.57,6.67,52,4.456,2.101388680855097,0.1866391011667694,mid,-1.001,-1.21,2.455,2.969,0.3185,bear
AXP,2022-02-07,2022-03-01,1,187.87,178.06,21.5641,-0.455,-5.22,5.59,0.487,15,11.478,0.27896082840758873,0.0558711705824937,0.0,0.0,1,2.757,2.86456324390477,0.10081757215503129,strong,-0.455,-0.515,1.894,2.143,0.3185,bear
SLB,2022-02-07,2022-04-25,1,40.27,38.69,6.1936,-0.255,-3.92,11.94,0.777,53,15.38,0.44792319714831436,0.23653113488460628,0.0,0.0,8,3.784,1.693982643575001,0.21596417186873462,mid,-0.42,-0.581,1.706,2.362,0.3185,bear
RTX,2022-02-08,2022-03-08,1,95.07,94.85,8.1717,-0.027,-0.23,8.06,0.937,19,8.595,0.25548209737227373,0.14670981853636536,0.0,0.0,1,2.302,2.0482865811348336,0.14480049340624457,strong,-0.346,-0.705,1.293,2.632,0.4379,bear
TFII,2022-02-08,2022-02-22,1,104.02,100.62,5.884,-0.578,-3.27,5.8,1.025,9,5.657,0.0366812330368808,0.025190541630876456,2.517,8.46,28,3.629,1.810353821312114,0.10667957701873454,mid,-0.578,-0.62,0.901,0.967,0.4379,bear
BVN,2022-02-09,2022-04-22,1,9.07,9.63,1.7542,0.319,6.17,25.8,1.334,50,19.341,0.30152671616794713,0.22320547688549258,0.0,0.0,1,4.827,1.873123593776604,0.10618768106318122,mid,-0.211,-0.308,0.845,1.234,0.6557,bull
ERIC,2022-02-09,2022-02-16,1,12.75,11.01,0.9004,-1.932,-13.65,0.0,0.0,5,7.062,0.5533975308809628,0.2284643490204184,0.0,0.0,1,1.858,3.9649771804096225,0.0784016079272174,mid,-1.932,-2.432,7.343,9.242,0.6557,bull
