date,ticker,name,major,sub,benchmark,close,signal,entry_pct,minentry,maxentry,stop,atrpct,dev,selfvol,er22,er55,r0,mult,buf
2026-09-01,CMBT,CMB.TECH NV,航运,海运,SEA,18.27,Wait,,18.5327,18.6904,16.5098,0.0288,1.9239,0.0224,0.4145,0.1719,2.1806,3.5,0.3475
2026-09-01,CMG,"Chipotle Mexican Grill, Inc.",消费,餐饮,XLY,37.51,Bad Market,,38.4051,38.7743,34.2128,0.0328,2.131,-0.0229,0.018,0.1167,4.5615,3.5,0.3048
2026-09-01,CNP,"CenterPoint Energy, Inc (Holdin",公用电力,电力,XLU,39.47,Bad Market,,42.4347,42.6832,42.5546,0.021,-0.7556,-0.0151,0.3656,0.1488,0.1286,3,0.4764
2026-09-01,CNQ,Canadian Natural Resources Limi,油气,油气勘探开发,XLE,51.81,Wait,,51.9181,52.2967,47.6141,0.0244,2.6458,0.0238,0.2677,0.158,4.6826,3,0.4105
2026-09-01,COHR,Coherent Corp.,科技硬件,光通信,XLK,272.03,Wait,,384.1888,391.777,324.3039,0.093,-1.6253,-0.0934,0.0241,0.1209,67.4731,4,0.2
2026-09-01,COIN,"Coinbase Global, Inc.",金融地产,加密金融,XLF,176.82,Wait,,192.9637,196.3292,145.8464,0.0634,1.1872,0.015,0.2148,0.0521,50.4828,4,0.2
2026-09-01,COP,ConocoPhillips,油气,油气勘探开发,XLE,136.19,Wait,,136.2519,137.1927,125.4824,0.023,2.9198,-0.0211,0.3663,0.1899,11.7102,3,0.4343
2026-09-01,CORT,Corcept Therapeutics Incorporat,医疗健康,生物制药,XBI,113.38,Wait,,124.7038,126.0473,107.8959,0.0395,-0.4825,0.1185,0.0263,0.2288,18.1514,3.5,0.2532
2026-09-01,CORZ,"Core Scientific, Inc.",数据中心,数据中心,DTCR,16.07,Bad Market,,23.0942,23.4905,23.876,0.0822,-2.3588,-0.1321,0.3218,0.2427,-0.3855,4,0.2
2026-09-01,COST,Costco Wholesale Corporation,消费,消费必需品,XLP,939.96,Wait,,980.1462,985.3939,934.2029,0.0186,-0.6341,-0.072,0.0632,0.0815,51.191,3,0.5
2026-09-01,CP,Canadian Pacific Kansas City Li,工业,铁路,IYT,88.97,Bad Market,,97.5797,98.1702,90.7852,0.0221,-2.1605,0.0307,0.0035,0.021,7.3849,3,0.452
