ticker,exchange,benchmark,major,sub
CLF,NYSE,XLB,基础材料,钢铁
CSTM,NYSE,XLB,基础材料,铝加工
CSX,NASDAQ,IYT,工业,铁路/联运
CTVA,NYSE,MOO,基础材料,农业
DAR,NYSE,XLB,基础材料,化工
DOW,NYSE,XLB,基础材料,化工
EMN,NYSE,XLB,基础材料,化工
EMR,NYSE,XLI,工业,工业机械
ENS,NYSE,XLI,工业,锂电池
ESI,NYSE,XLB,基础材料,化工
ETN,NYSE,XLI,工业,工业机械
FLR,NYSE,XLI,工业,建筑
FLS,NYSE,XLI,工业,工业机械
FPS,NYSE,XLI,工业,电气设备
FUL,NYSE,XLB,基础材料,材料
HUN,NYSE,XLB,基础材料,化工
HWKN,NASDAQ,XLB,基础材料,化工
KALU,NASDAQ,XLB,基础材料,铝加工
LIN,NASDAQ,XLB,基础材料,化工气体
LYB,NYSE,XLB,基础材料,化工
MEOH,NASDAQ,XLB,基础材料,甲醇
MLI,NYSE,XLI,工业,工业金属
MOS,NYSE,MOO,基础材料,化肥
MSGS,NYSE,XLC,通讯服务,体育娱乐
MTRN,NYSE,XLI,工业,工业金属
MTZ,NYSE,XLI,工业,建筑
NTR,NYSE,MOO,基础材料,化肥
PNR,NYSE,XLI,工业,污水处理
PRM,NYSE,XLB,基础材料,化工
PWR,NYSE,XLI,工业,建筑工程
ROK,NYSE,XLI,工业,工业机械
SBGSY,OTCMKTS,XLI,工业,电气设备
SBS,NYSE,XLU,公用电力,污水处理
SON,NYSE,XLB,基础材料,包装容器纸制品
SQM,NYSE,XLB,基础材料,化工
SXI,NYSE,XLI,工业,工业机械
SXT,NYSE,XLB,基础材料,化工
TX,NYSE,XLB,基础材料,钢铁
VRT,NYSE,XLI,工业,电气设备
WCC,NYSE,XLI,工业,工业分销
ZWS,NYSE,XLI,工业,污水处理
ABVX,NASDAQ,XLV,医疗健康,生物技术
AHR,NYSE,XLRE,金融地产,医疗地产
BBIO,NASDAQ,XBI,医疗健康,生物科技
BNTX,NASDAQ,XBI,医疗健康,生物技术
BTSG,NASDAQ,XLV,医疗健康,医疗健康
CELC,NASDAQ,XBI,医疗健康,生物技术
CGON,NASDAQ,XLV,医疗健康,生物技术
DGX,NYSE,XLV,医疗健康,诊断检测
DLR,NYSE,XLRE,金融地产,房地产
ELAN,NYSE,XLV,医疗健康,动物制药
ERAS,NASDAQ,XBI,医疗健康,生物技术
EW,NYSE,IHI,医疗健康,医疗器械
GRDN,NYSE,XLV,医疗健康,药房
HLN,NYSE,XLP,消费,消费必需品
KNSA,NASDAQ,XLV,医疗健康,制药
KOD,NASDAQ,XBI,医疗健康,生物技术
MANE,NYSE,XBI,医疗健康,生物制药
MDLN,NASDAQ,XLV,医疗健康,医疗用品
NBIX,NASDAQ,XBI,医疗健康,生物科技
OGN,NYSE,XLV,医疗健康,制药
PFE,NYSE,XLV,医疗健康,生物技术
ROIV,NASDAQ,XLV,医疗健康,生物技术
RPRX,NASDAQ,XLV,医疗健康,生物技术
SMMT,NASDAQ,XBI,医疗健康,生物技术
TEVA,NYSE,XLV,医疗健康,制药
UNH,NYSE,XLV,医疗健康,医疗服务
VRTX,NASDAQ,XLV,医疗健康,生物技术
VTR,NYSE,XLRE,金融地产,医疗地产
VTRS,NASDAQ,XLV,医疗健康,制药
AAPL,NASDAQ,XLK,科技硬件,消费电子
AMD,NASDAQ,SOXX,半导体,半导体
AMZN,NASDAQ,XLY,消费,互联网零售
AVGO,NASDAQ,SOXX,半导体,半导体
BE,NYSE,GRID,公用电力,电力
BEPC,NYSE,XLU,公用电力,电力
CL,NYSE,XLP,消费,消费必需品
D,NYSE,XLU,公用电力,电力
GOOGL,NASDAQ,XLC,通讯服务,互联网媒体
MSFT,NASDAQ,IGV,软件,软件
NEE,NYSE,XLU,公用电力,电力
NRG,NYSE,XLU,公用电力,电力
NVDA,NASDAQ,SOXX,半导体,半导体
PLTR,NASDAQ,IGV,软件,软件
RCL,NYSE,XLY,消费,旅游
SNDK,NASDAQ,SOXX,半导体,存储硬件
